"","Stimulus","X","Subject","Trial","Sex","Block","ACC","RT","RTlog","cTrial","condition","WordGender"
"452","apprenticeship",6301,6,60,"female","2",1,519,6.25190388316589,-0.394451368898919,"none","male"
"453","apprenticeship",22077,20,17,"female","7",1,811,6.698268,-1.193986,"female-real","male"
"454","apprenticeship",15727,14,91,"female","2",1,740,6.60665018619822,0.181957184454825,"none","male"
"455","apprenticeship",9082,8,154,"male","7",1,687,6.53233429222235,1.35336811546405,"female-real","male"
"456","apprenticeship",21435,19,86,"female","2",1,539,6.289716,0.08898806,"none","male"
"457","apprenticeship",9162,8,178,"male","4",1,687,6.53233429222235,1.79961989870565,"male-real","male"
"458","apprenticeship",13421,12,90,"female","7",1,1175,7.06902342657826,0.163363360153091,"female-real","male"
"459","apprenticeship",28924,26,9,"male","2",1,555,6.318968,-1.342736,"none","male"
"460","apprenticeship",6392,6,71,"female","4",1,411,6.01859321449623,-0.189919301579849,"male-real","male"
"461","apprenticeship",6393,6,71,"female","4",1,411,6.01859321449623,-0.189919301579849,"male-real","male"
"462","apprenticeship",20243,18,75,"female","7",1,731,6.594413,-0.115544,"female-real","male"
"463","apprenticeship",21041,19,34,"female","4",1,703,6.555357,-0.8778908,"female-real","male"
"464","apprenticeship",1928,2,94,"female","7",1,737,6.60258789218934,0.237738657360026,"female-real","male"
"465","apprenticeship",16430,15,37,"female","4",1,1158,7.05444965813294,-0.822109327838794,"female-real","male"
"466","apprenticeship",11322,10,122,"female","7",1,608,6.41017488196617,0.758365737808568,"female-real","male"
"467","apprenticeship",13935,13,9,"female","2",1,592,6.38350663488401,-1.34273640828734,"none","male"
"468","apprenticeship",18830,17,50,"male","2",1,526,6.265301,-0.5803896,"none","male"
"469","apprenticeship",21861,19,177,"female","7",1,663,6.496775,1.781026,"male-real","male"
"470","apprenticeship",13936,13,9,"female","2",1,592,6.38350663488401,-1.34273640828734,"none","male"
"471","apprenticeship",25681,23,34,"female","2",1,528,6.269096,-0.8778908,"none","male"
"472","apprenticeship",26844,24,41,"female","2",1,697,6.546785,-0.747734,"none","male"
"473","apprenticeship",31778,28,79,"male","7",1,750,6.620073,-0.04116871,"female-real","male"
"474","apprenticeship",12305,11,93,"female","2",1,623,6.43454651878745,0.219144833058292,"none","male"
"475","apprenticeship",11445,10,158,"female","4",0,452,6.11368217983223,1.42774341267098,"male-real","male"
"476","apprenticeship",22011,20,10,"female","2",1,483,6.180017,-1.324143,"none","male"
"477","apprenticeship",24082,21,166,"female","4",1,734,6.598509,1.576494,"female-real","male"
"478","apprenticeship",1927,2,94,"female","7",1,737,6.60258789218934,0.237738657360026,"female-real","male"
"479","apprenticeship",12303,11,93,"female","2",1,623,6.43454651878745,0.219144833058292,"none","male"
"480","apprenticeship",3565,4,11,"male","4",1,830,6.72142570079064,-1.30554875968387,"male-real","male"
"481","apprenticeship",31191,27,200,"female","4",1,1086,6.990257,2.208684,"female-real","male"
"482","apprenticeship",25674,23,33,"female","4",1,646,6.4708,-0.8964846,"female-real","male"
"483","apprenticeship",28926,26,9,"male","2",1,555,6.318968,-1.342736,"none","male"
"484","apprenticeship",23780,21,92,"female","7",1,518,6.249975,0.200551,"male-real","male"
"485","apprenticeship",5352,5,86,"female","2",1,681,6.52356230614951,0.0889880629461562,"none","male"
"486","apprenticeship",30531,27,61,"female","2",1,717,6.575076,-0.3758575,"none","male"
"487","apprenticeship",13045,12,45,"female","2",1,602,6.40025744530882,-0.673358733424924,"none","male"
"488","apprenticeship",31777,28,79,"male","7",1,750,6.620073,-0.04116871,"female-real","male"
"489","apprenticeship",25675,23,33,"female","4",1,646,6.4708,-0.8964846,"female-real","male"
"490","apprenticeship",7686,7,88,"female","7",1,649,6.47543271670409,0.126175711549624,"male-real","male"
"491","apprenticeship",1929,2,94,"female","7",1,737,6.60258789218934,0.237738657360026,"female-real","male"
"492","apprenticeship",7684,7,88,"female","7",1,649,6.47543271670409,0.126175711549624,"male-real","male"
"493","apprenticeship",7685,7,88,"female","7",1,649,6.47543271670409,0.126175711549624,"male-real","male"
"494","apprenticeship",25679,23,34,"female","2",1,528,6.269096,-0.8778908,"none","male"
"495","apprenticeship",314,1,41,"female","2",1,446,6.10031895202006,-0.747734030631859,"none","male"
